Number,Field,Notes,,,
1,A Bite at The Cherry: A good opportunity that isn’t available to everyone,,,,
2,"A Busy Bee: A busy, active person who moves quickly from task to task.",,,,
3,A Cat Has Nine Lives: Cats seem to get away with dangerous things,,,,
4,A Cat in Gloves Catches No Mice: You can’t get what you need if you’re too careful.,,,,
5,A Cat Nap: A short sleep during the day,,,,
6,A Cold Day In July: (Something that) will never happen,,,,
7,"A Cold Fish: Someone who is not often moved by emotions, who is regarded as being hard and unfeeling.",,,,
8,A Cut Above: Slightly better than,,,,
9,A Cut Below: Inferior to; somewhat lower in quality than,,,,
10,A Day Late And A Dollar Short: Too delayed and insignificant to have much effect,,,,
11,"A Dog in The Manger: A person who selfishly prevent others from using, enjoying or profiting from something even though he/ she cannot use or enjoy it himself.",,,,
12,"A Few Sandwiches Short Of A Picnic: Abnormally stupid, not really sane",,,,
13,"A Good Deal: To a large extent, a lot",,,,
14,A Great Deal: To a very large extent,,,,
15,A Guinea Pig: Someone who is part of an experiment or trial,,,,
16,A Hair’s Breadth: A very small distance or amount,,,,
17,A Home Bird: Somebody who prefers to spend his social and free time at home.,,,,
18,A Hundred And Ten Percent: More than what seems to be the maximum,,,,
19,A Lame Duck: A person or enterprise (often a business) that is not a success and that has to be helped.,,,,
20,"A Leg Up: An advantage, a boost",,,,
21,A Lemon: A vehicle that does not work properly,,,,
22,List of English idioms that start with A.,,,,
23,A Bit Much: More than is reasonable; a bit too much,,,,
24,A Little Bird Told Me: I don’t wish to divulge where I got the information,,,,
25,A Little Bird Told Me: I got this information from a source I cannot reveal.,,,,
26,"A Little from Column A, a Little from Column B: A course of action drawing on several different ideas or possibilities",,,,
27,A Lone Wolf: Someone who is not very social with other people,,,,
28,A Lot on One’s Plate: A lot to do,,,,
29,A Million and One: Very many,,,,
30,A Notch Above: Superior to; higher in quality,,,,
31,A Penny for Your Thoughts: What are you thinking?,,,,
32,A Penny Saved is A Penny Earned: Every small amount helps to build one’s savings,,,,
33,A Picture Is Worth a Thousand Words: A visual presentation can communicate something very effectively,,,,
34,A Plum Job: An easy and pleasant job that also pays well,,,,
35,A Rare Bird: Somebody or something of a kind that one seldom sees.,,,,
36,A Scaredy-Cat: Someone who is excessively scared or afraid.,,,,
37,A Second Bite At The Cherry: A Second chance to do something,,,,
38,A Sight for Sore Eyes: Someone that you’re pleased to see,,,,
39,A Sitting Duck: A person or object in a vulnerable position that is easy to attack or injure.,,,,
40,A Snowball’s Chance in Hell: Little to no likelihood of occurrence or success,,,,
41,"A Stitch in Time Saves Nine: Fix something quickly, because if you don’t, it will just get more difficult to fix",,,,
42,A Stone’s Throw: A very short distance,,,,
43,A Storm in a Teacup: Unnecessary anger or worry about an unimportant or trivial matter,,,,
44,A Tall Order: A difficult task,,,,
45,"A Week Is A Long Time In : In the field mentioned, the situation may change rapidly",,,,
46,A Life Of Its Own: An indepdendent existence,,,,
47,"About To: On the point of, occurring imminently",,,,
48,Above And Beyond: More than is expected or required,,,,
49,"Above Board: Openly, without deceit. Honestly, reputably.",,,,
50,Above The Law: Exempt from the laws that apply to everyone else.,,,,
51,Above The Salt: Of high standing or honor,,,,
52,Above Water: Not in extreme difficulty. Especially said of finances,,,,
53,Accident Of Birth: Luck in something due to family good fortune,,,,
54,Accident Waiting To Happen: A dangerous way of setting up or organizing something,,,,
55,"According To Hoyle: Properly, in accordance with established procedures",,,,
56,Ace In The Hole: A hidden advantage,,,,
57,Ace Up One’s Sleeve: A surprise advantage of which others are not aware.,,,,
58,Acid Test: A crucial event that determines the worth of something,,,,
59,"Acknowledge The Corn: Admit to a mistake, especially a small one; point out one’s own shortcomings, or another’s",,,,
60,Acquired Taste: Something one learns to appreciate only after trying it repeatedly,,,,
61,"Across The Board: In relation to all categories, for everyone",,,,
62,Across The Pond: On or to the other side of the Atlantic Ocean.,,,,
63,"Act High and Mighty: Be arrogant, presume that one is better than others",,,,
64,"Act Of Congress: Hard to get, said of authorization",,,,
65,"Act One’s Age: To be mature, not childish",,,,
66,Actions Speak Louder Than Words: One’s character and intentions are shown more accurately by one’s actions than by one’s words.,,,,
67,Achilles’ Heel: The weak point of an otherwise powerful person or organization,,,,
68,Add Fuel To The Fire: Worsen already existing tension,,,,
69,Add Insult To Injury: Compound a defeat with humiliation or mockery,,,,
70,Add Insult to Injury: Humiliate someone in addition to doing damage to him or her,,,,
71,About Time: Far past the desired time,,,,
72,After The Fact: Too late; after something is completed or finalized,,,,
73,After The Lord Mayor’s Show (UK): Anticlimactic; occurring after something impressive,,,,
74,Against The Clock: Forced to hurry to meet a deadline,,,,
75,Against the Clock: In a very limited amount of time; with a shortage of time being the main problem,,,,
76,Against The Grain: Contrary to one’s natural inclinations,,,,
77,Against The Run Of Play: A typical of the way a game has been going,,,,
78,"Age Before Beauty: Something said by a younger woman to an older one, for instance allowing her to pass through a doorway",,,,
79,Agree To Disagree: Accept or set aside a disagreement,,,,
80,"Agreement In Principle: In a negotiation, an agreement in which not all details have been worked out",,,,
81,"Aha Moment: Sudden realization, the point at which one suddenly understands something",,,,
82,Ahead Of One’s Time: Offering ideas not yet in general circulation; highly creative,,,,
83,"Ahead Of The Curve: Innovative, devising new ideas in advance of others",,,,
84,Ahead Of The Curve: Offering ideas not yet in general circulation; highly creative,,,,
85,Ahead Of The Game: Making faster progress than anticipated; ahead of schedule,,,,
86,Air Rage: Angry behavior inside an airplane,,,,
87,"Airy Fairy: whimsical, nonsensical, impractical",,,,
88,Albatross Around One’s Neck: Something from one’s past that acts as a hindrance,,,,
89,Alive and Kicking: In good health despite health problems,,,,
90,All Along: For the entire time something has been happening,,,,
91,All And Sundry: Everyone(separately) Each one.,,,,
92,All Bark And No Bite: Tending to make verbal threats but not deliver on them,,,,
93,All Bets Are Off: What seemed certain is now unclear,,,,
94,After One’s Own Heart: Similar in a pleasing way,,,,
95,"All Ears: Listening willingly, waiting for an explanation",,,,
96,All Eyes And Ears: Attentive,,,,
97,All Eyes Are On: Watching alertly or attentively. Having prominent eyes. Everyone is paying attention to,,,,
98,"All Fur Coat And No Knickers: Superficially attractive, physically or otherwise",,,,
99,All Hands on Deck: Everyone must help.,,,,
100,"All Hat And No Cattle: Pretentious, full of bluster",,,,
101,All Hell Breaks Loose: The situation becomes chaotic.,,,,
102,"All In A Day’s Work (Excl.): That’s what I’m here for; although I have accomplished something, it is part of what I’m expected to do",,,,
103,All In Good Time: Eventually; at a more favorable time in the future. This phrase encourages one to be patient.,,,,
104,All in One Piece: Safely,,,,
105,All It’s Cracked Up To Be: As good as claims or reputation would suggest,,,,
106,"All Mouth And No Trousers: Superficial, engaging in empty, boastful talk, but not of real substance",,,,
107,All Over But The Shouting: Certain to end in a specific way,,,,
108,All Over Hell’S Half Acre: All over the place; everywhere.,,,,
109,"All Over The Board: Everywhere, in many different locations",,,,
110,All Over The Map: Everywhere; in many different locations,,,,
111,All Over The Place: Everywhere; in many different locations,,,,
112,All Rights Reserved: Said of a published work; all reproduction rights are asserted by the copyright holder,,,,
113,All Roads Lead to Rome: There is more than one effective way to do something; many different methods will produce the same result,,,,
114,"All Set: Ready, prepared, finished",,,,
115,All Sizzle And No Steak: Failing to live up to advance promotion or reputation,,,,
116,"All Dressed Up And Nowhere To Go: Prepared (with clothing or otherwise) for an
event that does not occur",,,,
117,All Told: With everything taken into consideration,,,,
118,"All That Jazz: Similar things, similar qualities, et cetera",,,,
119,All The Marbles: The entire prize or reward,,,,
120,All The Rage: Very fashionable,,,,
121,All the Rage: Very much in fashion,,,,
122,All The Same: Anyway; nevertheless; nonetheless.,,,,
123,"All The Tea In China: Great wealth, a large payment",,,,
124,All Things Being Equal: In the event that all aspects of a situation remain the same,,,,
125,All Things Considered: Taking all factors into consideration,,,,
126,All Thumbs: Clumsy,,,,
127,All Very Well: True to a certain extent,,,,
128,All Wet: Completely mistaken,,,,
129,"Along The Lines Of: In general accordance with, in the same general direction as",,,,
130,Amateur Hour: A display of incompetence,,,,
131,Amber Gambler: Someone who accelerates to try to cross an intersection before a traffic light turns red,,,,
132,Amber Nectar: Beer,,,,
133,American Dream (The): The belief among Americans that hard work leads to material success,,,,
134,An Apple a Day Keeps the Doctor Away: Eating healthy foods will keep one from getting sick (and needing to see a doctor),,,,
135,"An Axe: To Grind A grievance, a disagreement with someone that justifies confrontation.",,,,
136,"An Early Bird: A person who gets up early in the morning, or who starts work earlier than others.",,,,
137,An Eye for an Eye: Justice in which reparation or vengeance exactly matches the harm caused to the victim,,,,
